ID,Title,Location,Salary,Summary
f9c492daa7d5c940,머신러닝기반 데이터분석_신입[3차],Success Korea 서울 선릉역,,"요건] - 대졸 이상 - 통계학, 수학, 산업공학 전공자 - R 또는 Python 사용경험 보유 [우대사항] - 석사/박사 학위 소지자 - 머신러닝... 수학, 산업공학 전공자 - R 또는 Python 사용경험 보유 [우대사항..."
dd44bd54e55b2ef8,SW 개발,Success Korea 서울 신논현역,,"및 구현 - 빅데이타 플랫폼/ 데이타관리 [자격요건] - JAVA, Python 등 OOP(Object Oriented Programming) 언어... 국문이력서 자격요건 - JAVA, Python 등 OOP(Object..."
cac18e6bcbee5a21,Front end 개발자,브릭 성남 분당구,"연봉 28,000,000원","ElasticSearch 사용 언어 (빈도수 순) : Java, C#, Javascript, Scala, Python, R, C++ 7. 근무 조건 근무장소 : 경기도 성남시 분당구 판교역로 230, 309호(삼환하이펙스..."
f837dc18688a1d0f,[XTRM] Data Engineer,PUBG 서울,,"stackshare.io/pubg/xtrm-data [지원 자격] 전산학 관련 이해 혹은 관련 분야 전공자 Python, Scala, 또는 Go 프로그래밍 언어 중 하나 이상의 언어를 능숙하게 사용할 줄 아시는 분..."
b36a14edee2a53d1,[AI Lab] AI 백엔드 엔지니어 (전문연구요원 가능),버즈니 서울,,"플랫폼 및 시스템 구축 이런 분을 찾습니다 주도적으로 문제를 찾고, 해결할 수 있는 능력을 보유하신 분 Python 사용 경험이 있으신 분 다음 항목 중 두 가지 이상에 해당되는 분 AWS 혹은 GCP와 같은 클라우드 플랫폼..."
26c9d5fb4de9c30f,IT 웹/응용/시스템프로그래머,이루텔럭키 경기도 군포,"연봉 27,000,000원 - 37,000,000원","[직무내용] * Python flask를 이용한 서비스 개발 지원 및 서버프로그램 개발지원 신입사원 모집 솔루션 개발 및 유지보수 (사물인터넷, 웹, 머신러닝 플랫폼) [근무시간 및 형태] 주 5일 근무 (오전) 9시 00분..."
e8ff70f4dd69a226,플랫폼 개발,NHN 4.4 성남 판교역,,"개발 - C/C++ 또는 Java/ Python 개발 경력 5년 이상... RabbitMQ 등의 메시지 큐를 이용한 개발 경험 - C/C++, Python 등의 다양한 개발 언어 구사 함께 만들고 싶습니다..."
da83ccf654e10ff8,Lead Engineer - McKinsey Digital (18-mon...,McKinsey & Company 4.3 서울,,"languages/frameworks... Node.js, Go, Elixir, Java or Python Passionate about technology and excited about the impact..."
d7b1019fe6f88309,Backend Developer,KidsLoop 서울,,CI / CD 파이프 라인 경험 VPC 대한 기본 이해 우대사항 Python / Java 경험 Docker / Kubernetes 경험 AWS... Experience with Python or Java Experience...
9b09565fe78ef392,DX혁신부문 Tech Lab Senior Machine Learning...,이투스교육 서울 강남구,,"분 - 일반적인 백엔드 시스템 설계 및 개발 - ML/AI 시스템 아키텍쳐 설계 경험 - Python, scala, R 등 ML 및 통계 관련 언어 사용 경험 - 머신러닝 프레임워크 경험자 (TensorFlow..."
